sample_number,key,keydown_time,keyup_time,dwell_time,flight_time
1,I,90258.20000000298,90365.40000000596,107.20000000298023,
1,Shift,89886.60000000894,90443.5,556.8999999910593,-478.79999999701977
1, ,90469.40000000596,90599.5,130.09999999403954,25.900000005960464
1,a,90663.5,90798.70000000298,135.20000000298023,64.0
1,m,90799.40000000596,90913.60000000894,114.20000000298023,0.7000000029802322
1, ,90986.5,91095.90000000596,109.40000000596046,72.8999999910593
1,Shift,91100.70000000298,91487.10000000894,386.40000000596046,4.799999997019768
1,h,91603.90000000596,91673.30000001192,69.40000000596046,116.79999999701977
1,a,91745.90000000596,91882.90000000596,137.0,72.59999999403954
1,n,91847.20000000298,91937.80000001192,90.6000000089407,-35.70000000298023
1,v,92323.30000001192,92414.0,90.69999998807907,385.5
1,a,92420.0,92520.30000001192,100.30000001192093,6.0
1,n,92569.40000000596,92665.40000000596,96.0,49.099999994039536
1,t,92699.20000000298,92804.80000001192,105.6000000089407,33.79999999701977
1,h,92806.0,92894.30000001192,88.30000001192093,1.199999988079071
1,r,92928.0,93034.70000000298,106.70000000298023,33.69999998807907
1,i,92990.5,93094.70000000298,104.20000000298023,-44.20000000298023
1, ,93396.5,93497.0,100.5,301.79999999701977
1,Shift,93516.90000000596,93704.40000000596,187.5,19.900000005960464
1,e,93836.5,93960.5,124.0,132.09999999403954
1,v,94050.20000000298,94145.40000000596,95.20000000298023,89.70000000298023
1,i,94152.0,94237.30000001192,85.30000001192093,6.5999999940395355
1,c,98167.70000000298,98333.5,165.79999999701977,3930.3999999910593
1,Control,97885.60000000894,98471.80000001192,586.2000000029802,-447.8999999910593
2,v,101087.5,101188.70000000298,101.20000000298023,
2,Control,100794.80000001192,101290.70000000298,495.8999999910593,-393.8999999910593
3,v,102154.10000000894,102295.30000001192,141.20000000298023,
3,Control,101848.20000000298,102426.40000000596,578.2000000029802,-447.1000000089407
4,v,103186.0,103320.5,134.5,
4,Control,102856.90000000596,103436.80000001192,579.9000000059605,-463.59999999403954
5,v,104205.80000001192,104330.90000000596,125.09999999403954,
5,Control,103894.70000000298,104415.60000000894,520.9000000059605,-436.20000000298023
6,v,105366.70000000298,105525.0,158.29999999701977,
6,Control,105089.90000000596,105584.5,494.59999999403954,-435.09999999403954
